graph,enc_MBps,dec_MBps,bpe
dblp,2801.6021651727706,2977.8092064987745,10.000183117075197
google,3253.217065661192,5055.812768181219,10.00014840227492
livejournal,4327.78748390545,6803.169201725416,10.023725284271237
youtube,3378.3866202902555,3349.3972093422726,10.008312115443745
