graph,enc_MBps,dec_MBps,bpe
dblp,4569.422472605805,2319.547156014063,10.00008921088279
google,4693.390961868001,2591.180531642188,10.000165861366087
livejournal,4593.9058627394825,2520.2447176665205,10.038137450694379
uk2002,2794.5562756875156,1808.0666109426152,11.862994503420476
youtube,4082.4797159444156,2785.89569628943,10.01412990530545
