graph,enc_MBps,dec_MBps,bpe
dblp,7008.522772347567,3134.987338701321,10.00010799212127
google,6322.667694221861,4598.8741526555505,10.000087295455835
livejournal,6210.145145246874,6127.391633980028,10.023717032715973
youtube,5260.1886222587855,9661.629964137357,10.008263749019717
