graph,enc_MBps,dec_MBps,bpe
dblp,4352.184568108784,2338.775018823179,10.00008921088279
google,3345.665620890827,2804.410302781445,10.000165861366087
livejournal,3808.609096222751,2268.472012310999,10.038137450694379
